time,current,mrpm,T
0,60,160,40
1,60,160,111.3077948
2,60,160,176.0634446
3,60,160,234.9465583
4,60,160,288.5653705
5,60,160,337.4642461
6,60,160,382.130396
7,60,160,422.9998867
8,60,160,460.4630179
9,60,160,494.8691339
10,60,160,526.5309302
11,60,160,555.7283064
12,60,160,582.7118141
13,60,160,607.7057425
14,60,160,630.9108791
15,60,160,652.5069805
16,60,160,672.6549829
17,60,160,691.4989809
18,60,160,709.1679973
19,60,160,725.7775676
20,60,160,741.4311571
21,60,160,756.22143
22,60,160,770.231384
23,60,160,783.5353662
24,60,160,796.1999821
25,60,160,808.2849089
26,60,160,819.8436232
27,60,160,830.9240525
28,60,160,841.569158
29,60,160,851.8174559
30,60,160,861.7034846
31,60,160,871.2582215
32,60,160,880.5094576
33,60,160,889.4821314
34,60,160,898.1986282
35,60,160,906.679048
36,60,160,914.9414453
37,60,160,923.0020432
38,60,160,930.8754254
39,60,160,938.5747083
40,60,160,946.111694
41,60,160,953.4970085
42,60,160,960.7402243
43,60,160,967.8499708
44,60,160,974.8340327
45,60,160,981.6994383
46,60,160,988.4525382
47,60,160,995.0990765
48,60,160,1001.644253
49,60,160,1008.092781
50,60,160,1014.448938
51,60,160,1020.716608
52,60,160,1026.899327
53,60,160,1033.000314
54,60,160,1039.02251
55,60,160,1044.968599
56,60,160,1050.841042
57,60,160,1056.642093
58,60,160,1062.373826
59,60,160,1068.03815
60,60,160,1073.636828
61,60,160,1079.171488
62,60,160,1084.643642
63,60,160,1090.054694
64,60,160,1095.405951
65,60,160,1100.698634
66,60,160,1105.933887
67,60,160,1111.112781
68,60,160,1116.236328
69,60,160,1121.305478
70,60,160,1126.321133
71,60,160,1131.284145
72,60,160,1136.195327
73,60,160,1141.055452
74,60,160,1145.865258
75,60,160,1150.625451
76,60,160,1155.33671
77,60,160,1159.999687
78,60,160,1164.61501
79,60,160,1169.183286
80,60,160,1173.705099
81,60,160,1178.18102
82,60,160,1182.611598
83,60,160,1186.997371
84,60,160,1191.338859
85,60,160,1195.636572
86,60,160,1199.891004
87,60,160,1204.102642
88,60,160,1208.27196
89,60,160,1212.399422
90,60,160,1216.485485
91,60,160,1220.530593
92,60,160,1224.535187
93,60,160,1228.499697
94,60,160,1232.424548
95,60,160,1236.310155
96,60,160,1240.15693
97,60,160,1243.965276
98,60,160,1247.735593
99,60,160,1251.468272
100,60,160,1255.163702
101,60,160,1258.822264
102,60,160,1262.444335
103,60,160,1266.030288
104,60,160,1269.58049
105,60,160,1273.095305
106,60,160,1276.57509
107,60,160,1280.020201
108,60,160,1283.430988
109,60,160,1286.807797
110,60,160,1290.15097
111,60,160,1293.460846
112,60,160,1296.737759
113,60,160,1299.982041
114,60,160,1303.194018
115,60,160,1306.374016
116,60,160,1309.522353
117,60,160,1312.639347
118,60,160,1315.725312
119,60,160,1318.780558
120,60,160,1321.805392
121,60,160,1324.800118
122,60,160,1327.765036
123,60,160,1330.700444
124,60,160,1333.606637
125,60,160,1336.483906
126,60,160,1339.33254
127,60,160,1342.152824
128,60,160,1344.94504
129,60,160,1347.70947
130,60,160,1350.446389
131,60,160,1353.156071
132,60,160,1355.838789
133,60,160,1358.49481
134,60,160,1361.124401
135,60,160,1363.727826
136,60,160,1366.305343
137,60,160,1368.857212
138,60,160,1371.383688
139,60,160,1373.885023
140,60,160,1376.361469
141,60,160,1378.813272
142,60,160,1381.240679
143,60,160,1383.643932
144,60,160,1386.02327
145,60,160,1388.378934
146,60,160,1390.711157
147,60,160,1393.020174
148,60,160,1395.306215
149,60,160,1397.56951
150,60,160,1399.810284
151,60,160,1402.028761
152,60,160,1404.225163
153,60,160,1406.399711
154,60,160,1408.552622
155,60,160,1410.68411
156,60,160,1412.79439
157,60,160,1414.883671
158,60,160,1416.952164
159,60,160,1419.000075
160,60,160,1421.027609
161,60,160,1423.034968
162,60,160,1425.022353
163,60,160,1426.989964
164,60,160,1428.937997
165,60,160,1430.866646
166,60,160,1432.776104
167,60,160,1434.666564
168,60,160,1436.538212
169,60,160,1438.391238
170,60,160,1440.225825
171,60,160,1442.042158
172,60,160,1443.840419
173,60,160,1445.620786
174,60,160,1447.383438
175,60,160,1449.128551
176,60,160,1450.856301
177,60,160,1452.566859
178,60,160,1454.260396
179,60,160,1455.937083
180,60,160,1457.597086
181,60,160,1459.240572
182,60,160,1460.867705
183,60,160,1462.478647
184,60,160,1464.073561
185,60,160,1465.652605
186,60,160,1467.215937
187,60,160,1468.763713
188,60,160,1470.296089
189,60,160,1471.813218
190,60,160,1473.315251
191,60,160,1474.802338
192,60,160,1476.274629
193,60,160,1477.73227
194,60,160,1479.175408
195,60,160,1480.604186
196,60,160,1482.018747
197,60,160,1483.419233
198,60,160,1484.805784
199,60,160,1486.178539
200,60,160,1487.537634
201,60,160,1488.883207
202,60,160,1490.215391
203,60,160,1491.534319
204,60,160,1492.840123
205,60,160,1494.132935
206,60,160,1495.412883
207,60,160,1496.680095
208,60,160,1497.934699
209,60,160,1499.176819
210,60,160,1500.406579
211,60,160,1501.624103
212,60,160,1502.829513
213,60,160,1504.022929
214,60,160,1505.204469
215,60,160,1506.374254
216,60,160,1507.532399
217,60,160,1508.67902
218,60,160,1509.814232
219,60,160,1510.938148
220,60,160,1512.050882
221,60,160,1513.152543
222,60,160,1514.243243
223,60,160,1515.32309
224,60,160,1516.392192
225,60,160,1517.450657
226,60,160,1518.49859
227,60,160,1519.536095
228,60,160,1520.563278
229,60,160,1521.58024
230,60,160,1522.587082
231,60,160,1523.583907
232,60,160,1524.570813
233,60,160,1525.547899
234,60,160,1526.515263
235,60,160,1527.473001
236,60,160,1528.42121
237,60,160,1529.359984
238,60,160,1530.289417
239,60,160,1531.209602
240,60,160,1532.120631
241,60,160,1533.022595
242,60,160,1533.915584
243,60,160,1534.799688
244,60,160,1535.674995
245,60,160,1536.541593
246,60,160,1537.399568
247,60,160,1538.249006
248,60,160,1539.089991
249,60,160,1539.922609
250,60,160,1540.746942
251,60,160,1541.563073
252,60,160,1542.371083
253,60,160,1543.171054
254,60,160,1543.963064
255,60,160,1544.747194
256,60,160,1545.523522
257,60,160,1546.292125
258,60,160,1547.053081
259,60,160,1547.806464
260,60,160,1548.552352
261,60,160,1549.290817
262,60,160,1550.021935
263,60,160,1550.745779
264,60,160,1551.462419
265,60,160,1552.171929
266,60,160,1552.87438
267,60,160,1553.569841
268,60,160,1554.258382
269,60,160,1554.940071
270,60,160,1555.614978
271,60,160,1556.28317
272,60,160,1556.944712
273,60,160,1557.599673
274,60,160,1558.248116
275,60,160,1558.890108
276,60,160,1559.525711
277,60,160,1560.15499
278,60,160,1560.778007
279,60,160,1561.394826
280,60,160,1562.005507
281,60,160,1562.610112
282,60,160,1563.2087
283,60,160,1563.801333
284,60,160,1564.388069
285,60,160,1564.968966
286,60,160,1565.544084
287,60,160,1566.113479
288,60,160,1566.677209
289,60,160,1567.235329
290,60,160,1567.787896
291,60,160,1568.334965
292,60,160,1568.876591
293,60,160,1569.412827
294,60,160,1569.943728
295,60,160,1570.469346
296,60,160,1570.989734
297,60,160,1571.504944
298,60,160,1572.015027
299,60,160,1572.520036
300,60,160,1573.020019
301,60,160,1573.515027
302,60,160,1574.00511
303,60,160,1574.490317
304,60,160,1574.970695
305,60,160,1575.446294
306,60,160,1575.917161
307,60,160,1576.383342
308,60,160,1576.844885
309,60,160,1577.301835
310,60,160,1577.754239
311,60,160,1578.202141
312,60,160,1578.645586
313,60,160,1579.08462
314,60,160,1579.519284
315,60,160,1579.949624
316,60,160,1580.375681
317,60,160,1580.7975
318,60,160,1581.215121
319,60,160,1581.628587
320,60,160,1582.037938
321,60,160,1582.443217
322,60,160,1582.844463
323,60,160,1583.241717
324,60,160,1583.635017
325,60,160,1584.024405
326,60,160,1584.409918
327,60,160,1584.791595
328,60,160,1585.169474
329,60,160,1585.543593
330,60,160,1585.91399
331,60,160,1586.280701
332,60,160,1586.643764
333,60,160,1587.003214
334,60,160,1587.359087
335,60,160,1587.711419
336,60,160,1588.060246
337,60,160,1588.405601
338,60,160,1588.747521
339,60,160,1589.086038
340,60,160,1589.421187
341,60,160,1589.753001
342,60,160,1590.081513
343,60,160,1590.406757
344,60,160,1590.728764
345,60,160,1591.047568
346,60,160,1591.363199
347,60,160,1591.67569
348,60,160,1591.985071
349,60,160,1592.291374
350,60,160,1592.594629
351,60,160,1592.894867
352,60,160,1593.192117
353,60,160,1593.48641
354,60,160,1593.777774
355,60,160,1594.06624
356,60,160,1594.351835
357,60,160,1594.634588
358,60,160,1594.914528
359,60,160,1595.191682
360,60,160,1595.466079
361,60,160,1595.737745
362,60,160,1596.006708
363,60,160,1596.272995
364,60,160,1596.536633
365,60,160,1596.797647
366,60,160,1597.056064
367,60,160,1597.31191
368,60,160,1597.56521
369,60,160,1597.81599
370,60,160,1598.064274
371,60,160,1598.310088
372,60,160,1598.553456
373,60,160,1598.794402
374,60,160,1599.032951
375,60,160,1599.269127
376,60,160,1599.502952
377,60,160,1599.734451
378,60,160,1599.963646
379,60,160,1600.190561
380,60,160,1600.415218
381,60,160,1600.63764
382,60,160,1600.857848
383,60,160,1601.075866
384,60,160,1601.291714
385,60,160,1601.505414
386,60,160,1601.716988
387,60,160,1601.926457
388,60,160,1602.133841
389,60,160,1602.339162
390,60,160,1602.54244
391,60,160,1602.743696
392,60,160,1602.942949
393,60,160,1603.140219
394,60,160,1603.335526
395,60,160,1603.52889
396,60,160,1603.72033
397,60,160,1603.909866
398,60,160,1604.097515
399,60,160,1604.283297
400,60,160,1604.467231
401,60,160,1604.649334
402,60,160,1604.829625
403,60,160,1605.008123
404,60,160,1605.184844
405,60,160,1605.359807
406,60,160,1605.53303
407,60,160,1605.704528
408,60,160,1605.87432
409,60,160,1606.042423
410,60,160,1606.208853
411,60,160,1606.373627
412,60,160,1606.536761
413,60,160,1606.698272
414,60,160,1606.858177
415,60,160,1607.01649
416,60,160,1607.173228
417,60,160,1607.328406
418,60,160,1607.48204
419,60,160,1607.634146
420,60,160,1607.784738
421,60,160,1607.933831
422,60,160,1608.081442
423,60,160,1608.227583
424,60,160,1608.37227
425,60,160,1608.515518
426,60,160,1608.65734
427,60,160,1608.797751
428,60,160,1608.936765
429,60,160,1609.074396
430,60,160,1609.210657
431,60,160,1609.345563
432,60,160,1609.479126
433,60,160,1609.61136
434,60,160,1609.742279
435,60,160,1609.871895
436,60,160,1610.000221
437,60,160,1610.12727
438,60,160,1610.253055
439,60,160,1610.377589
440,60,160,1610.500883
441,60,160,1610.622951
442,60,160,1610.743804
443,60,160,1610.863454
444,60,160,1610.981914
445,60,160,1611.099195
446,60,160,1611.215309
447,60,160,1611.330268
448,60,160,1611.444083
449,60,160,1611.556766
450,60,160,1611.668327
451,60,160,1611.778779
452,60,160,1611.888131
453,60,160,1611.996395
454,60,160,1612.103582
455,60,160,1612.209703
456,60,160,1612.314767
457,60,160,1612.418786
458,60,160,1612.52177
459,60,160,1612.62373
460,60,160,1612.724675
461,60,160,1612.824615
462,60,160,1612.923561
463,60,160,1613.021523
464,60,160,1613.118509
465,60,160,1613.214531
466,60,160,1613.309597
467,60,160,1613.403718
468,60,160,1613.496902
469,60,160,1613.589158
470,60,160,1613.680497
471,60,160,1613.770927
472,60,160,1613.860457
473,60,160,1613.949096
474,60,160,1614.036854
475,60,160,1614.123738
476,60,160,1614.209757
477,60,160,1614.294921
478,60,160,1614.379237
479,60,160,1614.462714
480,60,160,1614.545361
481,60,160,1614.627185
482,60,160,1614.708196
483,60,160,1614.7884
484,60,160,1614.867806
485,60,160,1614.946422
486,60,160,1615.024255
487,60,160,1615.101315
488,60,160,1615.177607
489,60,160,1615.253141
490,60,160,1615.327922
491,60,160,1615.40196
492,60,160,1615.475261
493,60,160,1615.547833
494,60,160,1615.619682
495,60,160,1615.690817
496,60,160,1615.761244
497,60,160,1615.83097
498,60,160,1615.900002
499,60,160,1615.968348
500,60,160,1616.036013
501,60,160,1616.103005
502,60,160,1616.169331
503,60,160,1616.234996
504,60,160,1616.300009
505,60,160,1616.364374
506,60,160,1616.428099
507,60,160,1616.49119
508,60,160,1616.553653
509,60,160,1616.615494
510,60,160,1616.67672
511,60,160,1616.737337
512,60,160,1616.797351
513,60,160,1616.856768
514,60,160,1616.915593
515,60,160,1616.973833
516,60,160,1617.031494
517,60,160,1617.088581
518,60,160,1617.1451
519,60,160,1617.201056
520,60,160,1617.256456
521,60,160,1617.311304
522,60,160,1617.365607
523,60,160,1617.41937
524,60,160,1617.472597
525,60,160,1617.525295
526,60,160,1617.577468
527,60,160,1617.629123
528,60,160,1617.680263
529,60,160,1617.730895
530,60,160,1617.781022
531,60,160,1617.830651
532,60,160,1617.879787
533,60,160,1617.928433
534,60,160,1617.976595
535,60,160,1618.024278
536,60,160,1618.071487
537,60,160,1618.118225
538,60,160,1618.164499
539,60,160,1618.210312
540,60,160,1618.25567
541,60,160,1618.300576
542,60,160,1618.345035
543,60,160,1618.389052
544,60,160,1618.432631
545,60,160,1618.475777
546,60,160,1618.518493
547,60,160,1618.560784
548,60,160,1618.602654
549,60,160,1618.644108
550,60,160,1618.685149
551,60,160,1618.725781
552,60,160,1618.76601
553,60,160,1618.805838
554,60,160,1618.84527
555,60,160,1618.884309
556,60,160,1618.922961
557,60,160,1618.961227
558,60,160,1618.999113
559,60,160,1619.036622
560,60,160,1619.073757
561,60,160,1619.110523
562,60,160,1619.146923
563,60,160,1619.182961
564,60,160,1619.218641
565,60,160,1619.253965
566,60,160,1619.288938
567,60,160,1619.323563
568,60,160,1619.357844
569,60,160,1619.391783
570,60,160,1619.425385
571,60,160,1619.458652
572,60,160,1619.491588
573,60,160,1619.524197
574,60,160,1619.556481
575,60,160,1619.588444
576,60,160,1619.620088
577,60,160,1619.651418
578,60,160,1619.682437
579,60,160,1619.713146
580,60,160,1619.74355
581,60,160,1619.773652
582,60,160,1619.803454
583,60,160,1619.832959
584,60,160,1619.862171
585,60,160,1619.891092
586,60,160,1619.919726
587,60,160,1619.948074
588,60,160,1619.976141
589,60,160,1620.003928
590,60,160,1620.031438
591,60,160,1620.058675
592,60,160,1620.085641
