time,current,mrpm,T
0,40,160,40
1,40,160,86.00371852
2,40,160,127.7881107
3,40,160,165.7907301
4,40,160,200.4031781
5,40,160,231.9759353
6,40,160,260.822686
7,40,160,287.2241864
8,40,160,311.4317271
9,40,160,333.6702309
10,40,160,354.1410255
11,40,160,373.0243238
12,40,160,390.4814437
13,40,160,406.6567952
14,40,160,421.6796571
15,40,160,435.6657681
16,40,160,448.71875
17,40,160,460.9313816
18,40,160,472.3867382
19,40,160,483.1592113
20,40,160,493.3154218
21,40,160,502.9150362
22,40,160,512.0114977
23,40,160,520.6526799
24,40,160,528.8814723
25,40,160,536.7363034
26,40,160,544.2516099
27,40,160,551.4582558
28,40,160,558.3839075
29,40,160,565.0533698
30,40,160,571.4888859
31,40,160,577.710407
32,40,160,583.7358322
33,40,160,589.5812245
34,40,160,595.2610026
35,40,160,600.7881142
36,40,160,606.1741897
37,40,160,611.4296806
38,40,160,616.5639826
39,40,160,621.5855469
40,40,160,626.5019783
41,40,160,631.3201245
42,40,160,636.0461546
43,40,160,640.6856308
44,40,160,645.2435712
45,40,160,649.7245068
46,40,160,654.1325325
47,40,160,658.4713522
48,40,160,662.74432
49,40,160,666.9544761
50,40,160,671.1045796
51,40,160,675.197138
52,40,160,679.2344329
53,40,160,683.2185432
54,40,160,687.1513666
55,40,160,691.0346381
56,40,160,694.8699463
57,40,160,698.658749
58,40,160,702.4023865
59,40,160,706.1020931
60,40,160,709.7590087
61,40,160,713.3741877
62,40,160,716.9486079
63,40,160,720.4831783
64,40,160,723.978746
65,40,160,727.4361021
66,40,160,730.8559874
67,40,160,734.2390978
68,40,160,737.5860878
69,40,160,740.8975754
70,40,160,744.1741451
71,40,160,747.4163513
72,40,160,750.6247212
73,40,160,753.799757
74,40,160,756.9419389
75,40,160,760.0517264
76,40,160,763.1295605
77,40,160,766.1758655
78,40,160,769.1910502
79,40,160,772.1755092
80,40,160,775.1296246
81,40,160,778.0537663
82,40,160,780.9482935
83,40,160,783.8135554
84,40,160,786.6498922
85,40,160,789.4576352
86,40,160,792.237108
87,40,160,794.988627
88,40,160,797.7125016
89,40,160,800.4090348
90,40,160,803.0785238
91,40,160,805.7212601
92,40,160,808.33753
93,40,160,810.9276147
94,40,160,813.491791
95,40,160,816.0303308
96,40,160,818.5435023
97,40,160,821.0315693
98,40,160,823.494792
99,40,160,825.9334267
100,40,160,828.3477264
101,40,160,830.7379406
102,40,160,833.1043155
103,40,160,835.4470943
