time,current,mrpm,T
0,20,160,40
1,20,160,60.69964227
2,20,160,79.51277689
3,20,160,96.63490195
4,20,160,112.2409856
5,20,160,126.4876246
6,20,160,139.5149761
7,20,160,151.4484861
8,20,160,162.4004363
9,20,160,172.471328
10,20,160,181.7511209
11,20,160,190.3203412
12,20,160,198.2510734
13,20,160,205.6078479
14,20,160,212.448435
15,20,160,218.8245556
16,20,160,224.7825171
17,20,160,230.3637823
18,20,160,235.605479
19,20,160,240.540855
20,20,160,245.1996864
21,20,160,249.6086424
22,20,160,253.7916114
23,20,160,257.7699937
24,20,160,261.5629624
25,20,160,265.1876978
26,20,160,268.6595966
27,20,160,271.9924592
28,20,160,275.1986571
29,20,160,278.2892836
30,20,160,281.2742872
31,20,160,284.1625924
32,20,160,286.9622069
33,20,160,289.6803176
34,20,160,292.3233771
35,20,160,294.8971804
36,20,160,297.4069342
37,20,160,299.857318
38,20,160,302.2525398
39,20,160,304.5963855
40,20,160,306.8922627
41,20,160,309.1432404
42,20,160,311.352085
43,20,160,313.5212909
44,20,160,315.6531097
45,20,160,317.7495754
46,20,160,319.8125268
47,20,160,321.843628
48,20,160,323.8443868
49,20,160,325.8161707
50,20,160,327.7602214
51,20,160,329.6776681
52,20,160,331.5695391
53,20,160,333.436772
54,20,160,335.2802234
55,20,160,337.1006769
56,20,160,338.898851
57,20,160,340.6754054
58,20,160,342.4309471
59,20,160,344.1660361
60,20,160,345.8811897
61,20,160,347.5768873
62,20,160,349.2535736
63,20,160,350.9116628
64,20,160,352.5515412
65,20,160,354.1735701
66,20,160,355.7780882
67,20,160,357.3654141
68,20,160,358.9358477
69,20,160,360.4896726
70,20,160,362.0271575
71,20,160,363.5485573
72,20,160,365.054115
73,20,160,366.544062
74,20,160,368.0186201
75,20,160,369.4780016
76,20,160,370.9224106
77,20,160,372.3520436
78,20,160,373.7670899
79,20,160,375.1677329
80,20,160,376.5541498
81,20,160,377.9265126
82,20,160,379.2849885
83,20,160,380.6297398
84,20,160,381.9609251
85,20,160,383.2786988
86,20,160,384.5832118
87,20,160,385.8746117
88,20,160,387.153043
89,20,160,388.4186472
90,20,160,389.6715631
91,20,160,390.9119271
92,20,160,392.1398729
93,20,160,393.3555322
94,20,160,394.5590344
95,20,160,395.7505068
96,20,160,396.930075
97,20,160,398.0978626
98,20,160,399.2539912
99,20,160,400.3985812
100,20,160,401.5317509
101,20,160,402.6536173
102,20,160,403.7642959
103,20,160,404.8639005
104,20,160,405.9525438
105,20,160,407.0303369
106,20,160,408.0973897
107,20,160,409.1538107
108,20,160,410.1997073
109,20,160,411.2351855
110,20,160,412.2603501
111,20,160,413.275305
112,20,160,414.2801526
113,20,160,415.2749944
114,20,160,416.2599308
115,20,160,417.235061
116,20,160,418.2004831
117,20,160,419.1562944
118,20,160,420.102591
119,20,160,421.039468
120,20,160,421.9670195
121,20,160,422.8853386
122,20,160,423.7945176
123,20,160,424.6946477
124,20,160,425.5858192
125,20,160,426.4681214
126,20,160,427.3416428
127,20,160,428.2064709
128,20,160,429.0626925
129,20,160,429.9103933
130,20,160,430.7496582
131,20,160,431.5805713
132,20,160,432.4032157
133,20,160,433.2176739
134,20,160,434.0240274
135,20,160,434.8223569
136,20,160,435.6127424
137,20,160,436.3952628
138,20,160,437.1699966
139,20,160,437.9370212
140,20,160,438.6964134
141,20,160,439.4482492
142,20,160,440.1926039
143,20,160,440.9295518
144,20,160,441.6591667
145,20,160,442.3815217
146,20,160,443.0966888
147,20,160,443.8047398
148,20,160,444.5057454
149,20,160,445.1997758
150,20,160,445.8869003
151,20,160,446.5671877
152,20,160,447.2407061
153,20,160,447.9075227
154,20,160,448.5677043
155,20,160,449.2213169
156,20,160,449.8684259
157,20,160,450.509096
158,20,160,451.1433913
159,20,160,451.7713752
160,20,160,452.3931105
161,20,160,453.0086595
162,20,160,453.6180835
163,20,160,454.2214437
164,20,160,454.8188003
165,20,160,455.4102131
166,20,160,455.9957412
167,20,160,456.5754432
168,20,160,457.149377
169,20,160,457.7176001
170,20,160,458.2801693
171,20,160,458.8371408
172,20,160,459.3885703
173,20,160,459.934513
174,20,160,460.4750234
175,20,160,461.0101557
176,20,160,461.5399634
177,20,160,462.0644993
178,20,160,462.583816
179,20,160,463.0979655
180,20,160,463.606999
181,20,160,464.1109676
182,20,160,464.6099216
183,20,160,465.103911
184,20,160,465.592985
185,20,160,466.0771927
186,20,160,466.5565824
187,20,160,467.0312022
188,20,160,467.5010993
189,20,160,467.9663209
190,20,160,468.4269135
191,20,160,468.8829231
192,20,160,469.3343954
193,20,160,469.7813754
194,20,160,470.2239079
195,20,160,470.6620371
196,20,160,471.0958069
197,20,160,471.5252605
198,20,160,471.9504411
199,20,160,472.371391
200,20,160,472.7881524
201,20,160,473.2007669
