time,current,mrpm,T
233,80,160,2046.099922
234,80,160,2047.402648
235,80,160,2048.692413
236,80,160,2049.969344
237,80,160,2051.233569
238,80,160,2052.485215
239,80,160,2053.724407
240,80,160,2054.951268
241,80,160,2056.165923
242,80,160,2057.368491
243,80,160,2058.559093
244,80,160,2059.737849
245,80,160,2060.904876
246,80,160,2062.060291
247,80,160,2063.204209
248,80,160,2064.336745
249,80,160,2065.458013
250,80,160,2066.568123
251,80,160,2067.667188
252,80,160,2068.755316
253,80,160,2069.832618
254,80,160,2070.899201
255,80,160,2071.95517
256,80,160,2073.000633
257,80,160,2074.035693
258,80,160,2075.060454
259,80,160,2076.075018
260,80,160,2077.079488
261,80,160,2078.073963
262,80,160,2079.058542
263,80,160,2080.033325
264,80,160,2080.998409
265,80,160,2081.95389
266,80,160,2082.899863
267,80,160,2083.836424
268,80,160,2084.763667
269,80,160,2085.681683
270,80,160,2086.590564
271,80,160,2087.490402
272,80,160,2088.381287
273,80,160,2089.263307
274,80,160,2090.13655
275,80,160,2091.001105
276,80,160,2091.857058
277,80,160,2092.704493
278,80,160,2093.543497
279,80,160,2094.374152
280,80,160,2095.196542
281,80,160,2096.010749
282,80,160,2096.816854
283,80,160,2097.614939
284,80,160,2098.405083
285,80,160,2099.187364
286,80,160,2099.961862
287,80,160,2100.728653
288,80,160,2101.487815
289,80,160,2102.239423
290,80,160,2102.983552
291,80,160,2103.720277
292,80,160,2104.449672
293,80,160,2105.171809
294,80,160,2105.88676
295,80,160,2106.594598
296,80,160,2107.295393
297,80,160,2107.989214
298,80,160,2108.676132
299,80,160,2109.356215
300,80,160,2110.029531
301,80,160,2110.696147
302,80,160,2111.356131
303,80,160,2112.009547
304,80,160,2112.656462
305,80,160,2113.29694
306,80,160,2113.931045
307,80,160,2114.558841
308,80,160,2115.18039
309,80,160,2115.795754
310,80,160,2116.404996
311,80,160,2117.008175
312,80,160,2117.605353
313,80,160,2118.196589
314,80,160,2118.781942
315,80,160,2119.36147
316,80,160,2119.935232
317,80,160,2120.503285
318,80,160,2121.065686
319,80,160,2121.622491
320,80,160,2122.173755
321,80,160,2122.719535
322,80,160,2123.259883
323,80,160,2123.794855
324,80,160,2124.324505
325,80,160,2124.848884
326,80,160,2125.368045
327,80,160,2125.882041
328,80,160,2126.390922
329,80,160,2126.89474
330,80,160,2127.393544
331,80,160,2127.887386
332,80,160,2128.376314
333,80,160,2128.860377
334,80,160,2129.339623
335,80,160,2129.814101
336,80,160,2130.283857
337,80,160,2130.74894
338,80,160,2131.209395
339,80,160,2131.665268
340,80,160,2132.116605
341,80,160,2132.563451
342,80,160,2133.005852
343,80,160,2133.44385
